วิทย์และวิศวะ, คณะวิทยาศาสตร์และวิศว
ศิลปและวิทย์, คณะศิลปศาสตร์และวิทย
ศิลป, คณะศิลป
วิศว, คณะวิศว
วิทย์, คณะวิทย
วน, คณะวน
เกษตร, คณะเกษตร
อุตสาหกรรมเกษตร, คณะอุตสาหกรรมเกษตร
สังคม, คณะสังคม
ศึกษา, คณะศึกษา
มนุษย์, คณะมนุษย
เศษรฐศาสตร์, คณะเศรษฐ
บริหาร, คณะบริหาร
สัตว, คณะสัตว
สถาปัคย์, คณะสถา
ประมง, คณะประมง
สิ่งแวดล้อม, คณะสิ่งแวดล้อม
บริหารธุรกิจ, คณะบริหารธุรกิจ
สัตวบาล, สัตวบาล
ฝ่ายโรงพิมพ์ ส่งเสริม, ฝ่ายโรงพิมพ์ สำนักส่งเสริม
ส่งเสริม, ส่งเสริม
สนง.บริการคอม, บริการคอม
สถาบันฯอาหาร, สถาบันค้นคว้าและพัฒนาผลิตภัณฑ์อาหาร
ศูนย์เทคโนโลยีชีวภาพเกษตร, ศูนย์เทคโนโลยีชีวภาพเกษตร
ศูนย์วิจัยและบริการวิชาการทางสัควแพทย์, ศูนย์วิจัยและบริการวิชาการทางสัควแพทย์
โรงพยาบาลสัตว์, โรงพยาบาลสัตว์
ผลิตผล, ผลิตผล
กองบริหารการวิจัยและบริการวิชาการ, กองบริหารการวิจัยและบริการวิชาการ
